ID_Cliente	Edad	Género	Nivel_Ingresos	Estado_Civil	Tarjeta_Fidelidad
1	60	F	Medio	Casado	No
2	49	F	Medio	Viudo	Sí
3	37	M	Medio	Casado	Sí
4	66	M	Medio	Soltero	No
5	37	F	Alto	Soltero	Sí
6	40	F	Medio	Divorciado	Sí
7	44	F	Bajo	Casado	Sí
8	46	F	Medio	Viudo	No
9	44	F	Medio	Divorciado	No
10	43	F	Bajo	Viudo	No
11	38	M	Bajo	Casado	No
12	73	F	Bajo	Casado	Sí
13	32	F	Alto	Divorciado	Sí
14	40	M	Medio	Casado	Sí
15	29	F	Bajo	Soltero	No
16	57	F	Medio	Casado	No
17	47	F	Medio	Casado	Sí
18	44	F	Medio	Casado	No
19	21	M	Bajo	Casado	Sí
20	79	F	Medio	Divorciado	Sí
21	42	M	Alto	Divorciado	No
22	38	F	Medio	Casado	Sí
23	32	F	Alto	Casado	Sí
24	60	M	Medio	Casado	Sí
25	58	F	Bajo	Viudo	Sí
26	37	F	Bajo	Casado	Sí
27	43	M	Medio	Casado	Sí
28	40	F	Medio	Casado	No
29	47	M	Medio	Casado	Sí
30	53	M	Medio	Soltero	Sí
31	44	M	Alto	Divorciado	Sí
32	47	M	Bajo	Casado	No
33	52	M	Medio	Divorciado	Sí
34	45	M	Bajo	Casado	Sí
35	59	F	Medio	Casado	Sí
36	62	F	Medio	Divorciado	Sí
37	44	M	Medio	Casado	No
38	39	F	Medio	Casado	No
39	29	F	Medio	Casado	Sí
40	63	F	Medio	Divorciado	Sí
41	31	F	Bajo	Casado	Sí
42	28	M	Bajo	Soltero	Sí
43	51	M	Bajo	Casado	Sí
44	27	M	Medio	Soltero	No
45	47	F	Alto	Casado	Sí
46	55	F	Bajo	Divorciado	No
47	27	M	Medio	Casado	Sí
48	29	F	Alto	Divorciado	No
49	36	M	Medio	Divorciado	Sí
50	43	M	Medio	Viudo	Sí
51	44	F	Alto	Casado	Sí
52	73	M	Medio	Casado	Sí
53	36	M	Alto	Soltero	Sí
54	49	M	Alto	Divorciado	Sí
55	29	M	Bajo	Divorciado	No
56	33	F	Medio	Casado	Sí
57	69	M	Bajo	Casado	No
58	43	F	Medio	Soltero	Sí
59	30	M	Medio	Divorciado	No
60	27	F	Bajo	Soltero	No
61	53	F	Medio	Viudo	No
62	48	F	Medio	Soltero	Sí
63	40	F	Medio	Viudo	Sí
64	53	M	Medio	Viudo	No
65	51	F	Bajo	Viudo	Sí
66	54	M	Alto	Divorciado	Sí
67	34	F	Bajo	Casado	Sí
68	18	M	Medio	Soltero	No
69	79	F	Bajo	Viudo	Sí
70	59	F	Bajo	Divorciado	Sí
71	40	M	Medio	Divorciado	No
72	18	F	Bajo	Soltero	No
73	18	M	Medio	Casado	Sí
74	27	M	Medio	Divorciado	Sí
75	74	F	Alto	Soltero	Sí
76	56	F	Medio	Divorciado	Sí
77	45	F	Medio	Casado	No
78	50	F	Medio	Casado	Sí
79	33	F	Medio	Divorciado	Sí
80	55	F	Bajo	Divorciado	No
81	23	M	Medio	Soltero	Sí
82	31	F	Alto	Soltero	Sí
83	65	F	Medio	Divorciado	Sí
84	29	M	Bajo	Casado	Sí
85	18	F	Bajo	Casado	Sí
86	18	M	Medio	Soltero	No
87	43	M	Bajo	Casado	No
88	26	F	Medio	Soltero	Sí
89	59	M	Medio	Divorciado	No
90	36	M	Medio	Soltero	Sí
91	30	M	Bajo	Casado	No
92	49	M	Medio	Casado	Sí
93	53	M	Medio	Divorciado	Sí
94	35	M	Medio	Divorciado	No
95	65	M	Alto	Viudo	Sí
96	42	M	Bajo	Casado	Sí
97	29	M	Alto	Casado	No
98	61	M	Medio	Viudo	Sí
99	33	M	Medio	Casado	No
100	20	F	Alto	Soltero	Sí
101	18	M	Bajo	Soltero	Sí
102	34	F	Bajo	Soltero	Sí
103	34	F	Bajo	Divorciado	Sí
104	58	M	Bajo	Viudo	Sí
105	29	F	Medio	Divorciado	No
106	18	M	Medio	Soltero	Sí
107	48	F	Medio	Viudo	Sí
108	73	M	Medio	Casado	Sí
109	48	M	Alto	Divorciado	Sí
110	18	M	Medio	Soltero	Sí
111	38	F	Alto	Soltero	No
112	50	F	Bajo	Casado	No
113	43	M	Medio	Viudo	Sí
114	47	M	Bajo	Casado	No
115	78	F	Medio	Divorciado	No
116	55	M	Alto	Viudo	Sí
117	18	F	Medio	Casado	Sí
118	33	M	Medio	Casado	Sí
119	65	M	Bajo	Divorciado	No
120	68	M	Medio	Divorciado	No
121	38	F	Medio	Soltero	Sí
122	59	M	Bajo	Soltero	No
123	36	F	Bajo	Divorciado	Sí
124	33	F	Bajo	Casado	Sí
125	37	F	Medio	Divorciado	Sí
126	30	M	Medio	Casado	No
127	41	M	Alto	Soltero	Sí
128	47	F	Medio	Soltero	Sí
129	60	M	Bajo	Soltero	No
130	24	F	Medio	Casado	Sí
131	18	M	Alto	Soltero	Sí
132	59	F	Bajo	Soltero	No
133	38	M	Bajo	Casado	Sí
134	36	F	Medio	Divorciado	No
135	58	F	Medio	Casado	Sí
136	37	F	Medio	Divorciado	No
137	50	M	Alto	Soltero	Sí
138	36	F	Bajo	Soltero	Sí
139	43	M	Medio	Casado	Sí
140	18	M	Bajo	Soltero	No
141	36	M	Medio	Casado	No
142	57	M	Alto	Soltero	Sí
143	47	F	Alto	Casado	Sí
144	56	M	Medio	Divorciado	Sí
145	48	M	Medio	Casado	Sí
146	27	F	Bajo	Divorciado	Sí
147	28	M	Medio	Casado	Sí
148	48	M	Bajo	Divorciado	No
149	55	F	Medio	Casado	Sí
150	42	M	Alto	Casado	Sí
151	54	F	Medio	Casado	No
152	40	M	Bajo	Viudo	No
153	28	M	Medio	Soltero	Sí
154	31	M	Alto	Casado	Sí
155	58	M	Medio	Divorciado	Sí
156	55	F	Medio	Soltero	No
157	52	F	Medio	Divorciado	No
158	47	F	Medio	Casado	No
159	39	F	Bajo	Divorciado	Sí
160	61	F	Medio	Divorciado	Sí
161	52	F	Medio	Casado	Sí
162	71	F	Alto	Soltero	Sí
163	31	F	Bajo	Soltero	No
164	48	F	Bajo	Divorciado	No
165	46	F	Bajo	Viudo	No
166	36	M	Bajo	Soltero	Sí
167	40	M	Bajo	Casado	No
168	42	M	Medio	Divorciado	Sí
169	44	M	Medio	Divorciado	No
170	45	M	Medio	Viudo	Sí
171	57	F	Medio	Casado	Sí
172	41	M	Medio	Casado	Sí
173	67	F	Medio	Casado	Sí
174	31	M	Medio	Divorciado	No
175	31	M	Medio	Divorciado	Sí
176	36	F	Medio	Soltero	No
177	50	M	Medio	Casado	No
178	48	M	Medio	Casado	No
179	42	F	Medio	Viudo	Sí
180	42	F	Alto	Casado	Sí
181	52	M	Alto	Casado	Sí
182	31	M	Medio	Casado	No
183	56	F	Medio	Soltero	Sí
184	43	F	Bajo	Divorciado	Sí
185	61	M	Medio	Soltero	No
186	18	F	Medio	Soltero	Sí
187	58	M	Alto	Viudo	Sí
188	49	F	Bajo	Casado	Sí
189	40	M	Alto	Divorciado	Sí
190	25	F	Medio	Divorciado	No
191	53	F	Alto	Casado	Sí
