customer_id,age,annual_income,spending_score,purchase_frequency,avg_order_value,days_since_last_purchase,preferred_category,payment_method,geographic_region
C0001,51,60905,62,12,101.33,78,Books,Debit_Card,Centro
C0002,18,32905,100,23,54.96,56,Sports,Credit_Card,Oriente
C0003,52,53636,31,4,160.86,103,Food,Debit_Card,Centro
C0004,40,75861,67,16,181.56,59,Electronics,Bank_Transfer,Centro
C0005,39,63055,71,17,117.04,51,Clothing,Cash,Centro
C0006,18,37399,95,25,49.92,14,Home_Garden,PayPal,Centro
C0007,42,42887,56,12,79.22,82,Home_Garden,Debit_Card,Centro
C0008,52,71534,64,23,194.79,23,Clothing,Bank_Transfer,Oriente
C0009,55,85295,53,16,172.01,42,Luxury,Bank_Transfer,Occidente
C0010,47,59451,52,14,174.2,49,Sports,PayPal,Sur
C0011,33,53246,72,16,82.69,56,Electronics,Debit_Card,Oriente
C0012,44,35623,83,20,102.02,50,Electronics,PayPal,Norte
C0013,25,34997,72,16,65.62,65,Beauty,Bank_Transfer,Occidente
C0014,37,48840,88,18,83.76,38,Books,PayPal,Norte
C0015,31,25000,74,16,92.45,42,Luxury,Credit_Card,Oriente
C0016,35,43976,71,16,94.9,33,Clothing,Debit_Card,Oriente
C0017,18,25000,100,22,90.65,28,Luxury,PayPal,Occidente
C0018,27,68822,100,19,135.92,71,Beauty,Debit_Card,Oriente
C0019,30,38357,100,25,3.59,27,Luxury,PayPal,Norte
C0020,18,29682,96,25,51.03,43,Electronics,Debit_Card,Centro
C0021,26,25000,98,25,50.41,13,Home_Garden,Debit_Card,Norte
C0022,18,32722,80,17,68.25,50,Books,Bank_Transfer,Norte
C0023,41,71138,83,22,127.05,27,Beauty,Credit_Card,Occidente
C0024,19,25000,80,22,9.85,33,Clothing,Cash,Oriente
C0025,27,32576,91,25,87.43,22,Home_Garden,Bank_Transfer,Oriente
C0026,24,25000,95,24,39.27,53,Beauty,Cash,Norte
