ID,Edad,Experiencia_Previa,Tipo_Ejercicio_Preferido,Frecuencia_Semanal_Planeada,Objetivo_Principal,Tiempo_Disponible_Sesion,Duración_Adherencia_Meses
1,23,0,Boxeo,4,Resistencia,104,23
2,45,5,Funcional,4,Tonificación,68,14
3,47,2,CrossFit,2,Mantenimiento,94,29
4,34,1,Funcional,2,Ganancia muscular,66,5
5,43,4,Pesas,7,Rendimiento deportivo,69,30
6,25,5,Pesas,4,Mantenimiento,97,33
7,51,9,Yoga,3,Resistencia,101,1
8,36,3,Funcional,6,Resistencia,75,10
9,34,3,Cardio,5,Ganancia muscular,120,1
10,45,4,Boxeo,3,Pérdida de peso,33,12
11,45,1,Funcional,3,Ganancia muscular,101,7
12,21,1,Pesas,1,Rehabilitación,102,17
13,37,1,Pilates,3,Rehabilitación,35,13
14,31,6,Pesas,2,Flexibilidad,120,13
15,25,0,CrossFit,1,Tonificación,74,6
16,57,3,Cardio,3,Mantenimiento,43,11
17,61,7,Pesas,7,Rehabilitación,73,21
18,31,6,Natación,3,Ganancia muscular,65,24
19,45,7,Yoga,4,Rehabilitación,120,4
20,34,6,Natación,3,Rehabilitación,33,36
21,48,2,Cardio,6,Flexibilidad,41,6
22,40,6,Yoga,5,Mantenimiento,63,29
23,22,2,Natación,3,Mantenimiento,61,27
24,54,8,Natación,2,Pérdida de peso,120,11
25,63,2,Pesas,4,Tonificación,64,8
26,68,2,Boxeo,4,Rehabilitación,120,7
27,33,3,Pilates,6,Rendimiento deportivo,120,9
28,68,9,Funcional,7,Ganancia muscular,64,3
29,64,2,Pesas,3,Tonificación,120,22
30,36,8,Boxeo,5,Rehabilitación,97,26
31,33,6,Natación,4,Pérdida de peso,64,11
32,28,4,Yoga,4,Flexibilidad,120,30
33,38,5,Yoga,3,Rendimiento deportivo,96,30
34,36,4,Pilates,3,Ganancia muscular,120,22
35,30,5,Boxeo,2,Resistencia,68,18
36,48,7,Boxeo,3,Mantenimiento,96,31
37,21,3,Natación,2,Ganancia muscular,41,21
38,55,8,Pilates,3,Mantenimiento,65,21
39,55,4,Funcional,2,Rehabilitación,120,10
40,32,1,Pilates,3,Ganancia muscular,120,16
41,40,4,CrossFit,3,Mantenimiento,120,12
42,29,3,Natación,3,Pérdida de peso,37,27
43,52,10,Yoga,1,Tonificación,45,35
44,49,3,Cardio,3,Pérdida de peso,39,24
45,24,3,Funcional,6,Rehabilitación,120,12
46,55,2,Pilates,3,Rendimiento deportivo,94,30
47,58,8,Boxeo,3,Ganancia muscular,42,33
48,40,4,Pilates,2,Resistencia,120,34
49,19,2,Funcional,4,Pérdida de peso,100,13
50,59,10,Funcional,2,Resistencia,94,33
51,34,5,Yoga,1,Rehabilitación,67,18
52,60,7,Pesas,2,Ganancia muscular,42,4
53,43,1,CrossFit,2,Mantenimiento,120,10
54,26,5,Funcional,3,Resistencia,67,15
55,54,9,Pilates,4,Tonificación,94,19
56,68,10,Pilates,4,Mantenimiento,120,29
57,32,6,Cardio,5,Rendimiento deportivo,66,20
58,27,1,Cardio,3,Mantenimiento,72,21
59,34,2,Pesas,4,Mantenimiento,74,6
60,49,2,Boxeo,2,Resistencia,74,34
61,39,3,Boxeo,3,Rendimiento deportivo,33,19
62,19,3,CrossFit,3,Mantenimiento,67,15
63,55,2,Pesas,4,Mantenimiento,90,27
64,32,2,Pesas,4,Ganancia muscular,120,21
65,19,1,Pesas,2,Mantenimiento,72,18
66,45,4,Yoga,2,Tonificación,62,34
67,31,2,Pilates,3,Ganancia muscular,36,28
68,24,2,Pesas,5,Tonificación,37,25
69,40,6,Yoga,2,Flexibilidad,69,21
70,32,5,Yoga,4,Tonificación,43,35
71,41,8,Cardio,4,Resistencia,65,23
72,60,9,Funcional,5,Flexibilidad,61,16
73,43,8,CrossFit,4,Pérdida de peso,66,34
74,60,2,Yoga,2,Rendimiento deportivo,65,36
75,39,6,CrossFit,3,Rendimiento deportivo,120,21
76,49,3,Pesas,4,Mantenimiento,93,10
77,46,5,Pesas,2,Ganancia muscular,64,15
78,58,8,Pilates,3,Rendimiento deportivo,45,13
79,27,2,Natación,1,Flexibilidad,120,16
80,41,1,Funcional,2,Rehabilitación,95,18
81,33,5,Cardio,2,Pérdida de peso,30,13
82,31,0,Funcional,3,Flexibilidad,69,27
83,33,6,Yoga,1,Tonificación,34,12
84,21,1,Natación,1,Flexibilidad,95,10
85,18,1,Cardio,4,Ganancia muscular,97,24
86,54,2,Natación,3,Resistencia,30,12
87,64,8,Cardio,4,Rehabilitación,61,26
88,70,6,Pilates,1,Rendimiento deportivo,38,24
89,67,8,Yoga,2,Pérdida de peso,120,8
90,27,6,Cardio,3,Ganancia muscular,32,35
91,42,4,CrossFit,2,Rendimiento deportivo,36,16
92,40,6,CrossFit,4,Resistencia,75,7
93,43,7,CrossFit,3,Ganancia muscular,75,18
94,41,5,Funcional,3,Mantenimiento,44,28
95,57,10,Boxeo,3,Rehabilitación,64,22
96,39,5,CrossFit,4,Mantenimiento,120,21
97,39,1,Yoga,3,Pérdida de peso,120,32
98,60,8,Boxeo,5,Rehabilitación,63,27
99,54,5,Pesas,5,Mantenimiento,73,6
100,56,5,Yoga,5,Mantenimiento,61,36
101,44,6,Cardio,3,Flexibilidad,120,18
102,46,5,Pilates,2,Ganancia muscular,32,15
103,39,4,CrossFit,2,Pérdida de peso,39,16
104,61,8,Cardio,4,Rendimiento deportivo,64,9
105,55,10,Pesas,4,Resistencia,104,21
106,55,4,CrossFit,5,Rendimiento deportivo,67,15
107,43,8,CrossFit,2,Flexibilidad,101,22
108,65,3,Pesas,5,Flexibilidad,96,15
109,20,0,CrossFit,4,Resistencia,120,17
110,52,7,Pilates,3,Ganancia muscular,97,9
111,26,5,Funcional,3,Ganancia muscular,36,33
112,23,3,Pilates,3,Pérdida de peso,103,1
113,19,3,Natación,2,Resistencia,68,29
114,58,9,Yoga,3,Rehabilitación,74,11
115,38,5,Cardio,3,Pérdida de peso,72,12
116,23,2,Pesas,3,Rendimiento deportivo,68,19
117,28,1,CrossFit,3,Flexibilidad,103,11
118,27,6,CrossFit,2,Resistencia,36,24
119,48,7,Pilates,3,Ganancia muscular,60,35
120,66,5,Pesas,5,Ganancia muscular,30,15
121,28,5,Funcional,3,Pérdida de peso,41,1
122,24,2,Boxeo,5,Flexibilidad,33,36
123,27,2,Pesas,3,Flexibilidad,100,12
