ID Visita,País,Dispositivo,Tiempo en la Página (segundos),Páginas Vistas,¿Realizó Compra?
1,Brasil,Móvil,15,2,No
2,Venezuela,Móvil,253,4,No
3,Colombia,Móvil,123,3,No
4,Venezuela,Móvil,110,1,No
5,Estados Unidos,Tablet,38,1,No
6,España,Móvil,210,2,No
7,Colombia,Móvil,337,4,Sí
8,Chile,Tablet,678,8,No
9,Colombia,PC,250,5,No
10,México,Móvil,468,5,No
11,Uruguay,Móvil,100,1,No
12,Colombia,PC,633,6,No
13,Chile,Móvil,374,4,No
14,Colombia,PC,134,3,No
15,España,PC,790,8,No
16,México,Móvil,697,6,Sí
17,España,PC,819,7,No
18,Estados Unidos,Tablet,524,5,No
19,Colombia,PC,16,2,Sí
20,Estados Unidos,Móvil,1436,12,Sí
21,México,Tablet,350,4,No
22,Colombia,PC,198,3,No
23,México,PC,81,1,No
24,Estados Unidos,Móvil,387,6,No
25,España,Móvil,216,4,No
26,Estados Unidos,Móvil,821,7,No
27,Colombia,Móvil,129,2,Sí
28,Reino Unido,Móvil,1034,11,No
29,Colombia,PC,888,8,Sí
30,España,Móvil,148,2,No
31,Colombia,Móvil,33,2,No
32,México,Móvil,47,1,No
33,España,Móvil,197,3,Sí
34,Colombia,Móvil,327,3,No
35,Argentina,Móvil,93,3,No
36,Colombia,Móvil,41,3,No
37,México,Móvil,172,2,No
38,México,PC,90,3,Sí
39,México,PC,72,3,No
40,Venezuela,Móvil,80,2,Sí
41,Colombia,PC,16,2,No
42,Venezuela,PC,465,6,No
43,Colombia,PC,767,8,Sí
44,Colombia,Móvil,86,3,No
45,España,Móvil,1092,12,No
46,Colombia,PC,529,6,No
47,Estados Unidos,Móvil,34,2,No
48,Colombia,Móvil,377,6,No
49,Chile,Tablet,71,1,No
50,Colombia,Tablet,118,3,No
51,España,Tablet,304,3,No
52,Argentina,Móvil,469,5,No
53,Estados Unidos,PC,165,3,No
54,Ecuador,Móvil,212,4,No
55,Estados Unidos,Móvil,181,4,Sí
56,México,Móvil,558,5,No
57,Argentina,PC,524,6,Sí
58,México,Móvil,344,4,Sí
59,México,Móvil,403,5,No
60,Colombia,Móvil,1340,13,No
61,España,PC,118,1,No
62,México,Móvil,1159,11,Sí
63,Venezuela,PC,613,7,No
64,Colombia,Móvil,568,5,No
65,México,Móvil,208,3,No
66,Estados Unidos,Móvil,59,1,Sí
67,Perú,Móvil,467,4,No
68,Colombia,Tablet,136,2,No
69,Alemania,Móvil,411,6,No
70,Colombia,PC,221,4,Sí
71,Argentina,PC,51,2,No
72,España,Móvil,282,5,Sí
73,Ecuador,Móvil,401,4,No
74,Perú,Móvil,444,4,No
75,Colombia,PC,112,3,Sí
76,Colombia,Móvil,450,5,No
77,México,Tablet,152,3,No
78,Estados Unidos,Tablet,511,5,Sí
79,Colombia,PC,428,4,No
80,Argentina,Móvil,252,5,No
81,México,Móvil,87,3,No
82,Estados Unidos,Móvil,82,2,No
83,Argentina,Móvil,424,6,Sí
84,Chile,Móvil,1008,9,No
85,Colombia,PC,61,2,No
86,Estados Unidos,PC,425,4,No
87,México,PC,395,4,Sí
88,España,Móvil,233,4,Sí
89,Perú,Móvil,219,3,No
90,México,Móvil,974,11,No
91,México,Móvil,809,7,No
92,Colombia,Móvil,788,8,Sí
93,México,Móvil,903,9,No
94,México,PC,227,3,No
95,México,Móvil,150,3,No
96,México,PC,926,9,No
97,México,PC,65,1,Sí
98,Chile,PC,51,1,No
99,Chile,Móvil,376,4,No
100,Estados Unidos,PC,119,2,No
101,Venezuela,Móvil,378,5,Sí
102,Colombia,PC,654,8,No
103,Perú,Móvil,113,2,No
104,Estados Unidos,Móvil,176,4,No
105,España,Móvil,552,6,Sí
106,España,PC,134,4,Sí
107,Francia,Móvil,651,6,Sí
108,Ecuador,Móvil,29,1,No
109,Colombia,Móvil,385,6,No
110,Colombia,Móvil,172,2,No
111,Colombia,Móvil,188,3,No
112,España,Móvil,29,1,No
113,Colombia,Móvil,127,3,No
114,México,Móvil,217,4,No
115,Colombia,Móvil,136,3,No
116,Colombia,Móvil,1199,11,No
117,España,Móvil,990,10,No
118,Perú,Móvil,177,4,No
119,España,Móvil,291,3,No
120,México,PC,549,5,No
121,México,PC,485,6,No
122,Argentina,Tablet,15,1,No
123,Estados Unidos,Tablet,1130,11,Sí
124,Chile,PC,616,8,No
125,Chile,Tablet,251,5,Sí
126,Estados Unidos,Tablet,1232,11,Sí
127,España,Móvil,219,4,Sí
128,México,Móvil,156,3,No
129,Venezuela,Móvil,869,9,No
130,Colombia,Móvil,260,4,Sí
131,Estados Unidos,Móvil,254,4,Sí
132,Colombia,Móvil,27,3,No
133,Argentina,Tablet,726,9,No
134,España,PC,136,4,No
135,Colombia,PC,216,4,No
136,España,PC,170,2,No
137,Colombia,Móvil,945,9,No
138,México,Móvil,294,4,No
139,Colombia,Móvil,97,2,No
140,México,PC,740,9,No
141,Colombia,Tablet,28,3,No
142,Colombia,PC,1800,15,No
143,México,Móvil,15,1,No
144,Estados Unidos,Móvil,757,8,No
145,Uruguay,PC,113,1,No
146,Colombia,Móvil,401,6,No
147,Alemania,Móvil,30,1,No
148,Colombia,Tablet,417,4,Sí
149,Colombia,Móvil,413,6,No
150,México,Móvil,200,3,No
151,México,Móvil,550,6,No
152,Argentina,Móvil,70,2,No
153,Perú,PC,95,3,No
154,Perú,PC,141,3,Sí
155,Chile,Móvil,189,2,No
156,España,Móvil,110,1,No
157,Uruguay,Móvil,935,9,No
158,México,Móvil,101,2,No
159,Perú,PC,148,4,Sí
160,México,PC,46,3,No
161,México,Tablet,483,6,No
162,Colombia,Tablet,142,3,No
163,Colombia,PC,719,6,Sí
164,Estados Unidos,PC,158,4,No
165,España,PC,83,3,No
166,España,Móvil,826,7,Sí
167,España,Móvil,15,2,Sí
168,Estados Unidos,Móvil,442,5,Sí
169,Colombia,Tablet,366,5,No
170,España,PC,317,4,Sí
171,Alemania,Móvil,105,3,No
172,Colombia,PC,952,8,No
173,Venezuela,Móvil,162,2,Sí
174,México,Móvil,15,1,No
175,España,PC,140,4,No
176,Argentina,Móvil,807,8,No
177,España,PC,105,3,No
178,Colombia,Tablet,313,4,No
179,Colombia,PC,159,3,No
180,Colombia,PC,872,8,Sí
181,España,Móvil,437,6,No
182,Colombia,PC,248,3,Sí
183,España,Móvil,147,2,No
184,España,PC,290,5,Sí
185,España,Tablet,93,1,No
186,Reino Unido,Móvil,98,2,No
187,Argentina,Móvil,469,6,Sí
188,España,Móvil,989,9,No
189,Colombia,Móvil,15,3,Sí
190,Colombia,PC,185,3,No
191,Estados Unidos,Móvil,498,5,No
192,España,Tablet,299,3,Sí
193,Colombia,PC,623,6,No
194,México,Tablet,206,3,No
195,México,Móvil,573,5,Sí
196,México,Móvil,112,1,No
197,México,Móvil,1080,11,No
198,México,Móvil,44,1,No
199,Perú,Móvil,46,3,No
200,Colombia,PC,270,5,No
201,Chile,Móvil,45,1,No
202,Colombia,PC,773,8,No
203,Estados Unidos,PC,195,4,No
204,Colombia,Móvil,585,6,No
205,México,Móvil,60,2,Sí
206,Reino Unido,Tablet,240,4,Sí
207,Ecuador,PC,135,2,No
208,Estados Unidos,Móvil,979,10,No
209,España,Móvil,108,2,Sí
210,Colombia,PC,311,3,No
211,Colombia,Móvil,95,2,No
212,Estados Unidos,Móvil,364,5,Sí
213,Venezuela,Móvil,81,2,No
214,España,Móvil,55,1,No
215,México,PC,201,4,No
216,Colombia,Móvil,157,3,No
217,España,Móvil,1350,13,Sí
218,Colombia,Móvil,712,7,Sí
219,Colombia,Móvil,72,2,No
220,México,PC,708,6,No
221,México,Móvil,54,1,No
222,México,Móvil,418,4,No
223,Colombia,Móvil,40,1,Sí
224,Chile,PC,448,4,No
225,Colombia,PC,15,1,No
226,Venezuela,Móvil,417,5,Sí
227,España,PC,1031,9,No
228,Chile,Móvil,99,1,No
229,México,Tablet,130,3,No
230,Argentina,Móvil,705,6,Sí
231,Argentina,PC,215,2,No
232,México,Móvil,195,4,No
233,México,Tablet,168,4,No
234,España,PC,622,6,No
235,México,Móvil,224,2,No
236,Perú,PC,133,4,Sí
237,España,Móvil,848,9,Sí
238,Venezuela,Móvil,43,1,No
239,Ecuador,Móvil,301,3,Sí
240,Uruguay,PC,565,5,No
241,Venezuela,Móvil,907,9,No
242,Estados Unidos,PC,248,5,No
243,Perú,PC,348,3,No
244,México,PC,315,3,No
245,Ecuador,PC,264,4,No
246,España,Tablet,15,1,No
247,Venezuela,PC,730,8,No
248,Estados Unidos,PC,553,7,No
249,España,PC,262,4,No
250,Estados Unidos,PC,54,1,No
251,Estados Unidos,Móvil,15,3,No
252,Reino Unido,Móvil,407,4,No
253,Argentina,Móvil,594,7,Sí
254,España,Móvil,269,5,No
255,Perú,PC,711,7,No
256,Estados Unidos,Móvil,533,7,Sí
257,Brasil,Tablet,729,8,No
258,España,Móvil,318,3,No
259,Uruguay,Móvil,837,9,Sí
260,Colombia,PC,156,3,No
261,Argentina,PC,28,3,Sí
262,Colombia,Móvil,425,4,Sí
263,Chile,Móvil,690,7,Sí
264,Estados Unidos,Móvil,164,3,No
265,México,PC,15,2,Sí
266,Colombia,Móvil,192,3,No
267,Colombia,PC,624,8,No
268,México,Móvil,152,3,No
269,Colombia,Móvil,186,4,No
270,Colombia,Móvil,175,3,No
271,Colombia,Móvil,209,2,No
272,Colombia,Móvil,79,2,No
273,España,Tablet,116,3,Sí
